Sample #,Unique Soil ID,Set,Set ID,Soil ID,Rep,Soil.mass,SOC.mass.class,SOC.mass,mmol.Mn.reduced,mmol.C.oxidized,POXC,POXC.max.theoretical,Detectable,SOC.pct,pH,Clay.pct
82,10,UIUC,10,UIUC-10,a,2.5,std,83.5,0.1606,0.1205,578,1440,1,3.34,4.8,10.19
83,10,UIUC,10,UIUC-10,b,2.5,std,83.5,0.1689,0.1266,608,1440,1,3.34,4.8,10.19
84,10,UIUC,10,UIUC-10,c,2.5,std,83.5,0.1694,0.127,610,1440,1,3.34,4.8,10.19
85,10,UIUC,10,UIUC-10,a,0.44,15mg,14.696,0.042,0.0315,859,8182,1,3.34,4.8,10.19
86,10,UIUC,10,UIUC-10,b,0.44,15mg,14.696,0.0343,0.0257,701,8182,1,3.34,4.8,10.19
87,10,UIUC,10,UIUC-10,c,0.44,15mg,14.696,-0.0142,-0.0106,-290,8182,1,3.34,4.8,10.19
88,10,UIUC,10,UIUC-10,a,0.74,25mg,24.716,0.0663,0.0497,806,4865,1,3.34,4.8,10.19
89,10,UIUC,10,UIUC-10,b,0.74,25mg,24.716,0.059,0.0443,718,4865,1,3.34,4.8,10.19
90,10,UIUC,10,UIUC-10,c,0.74,25mg,24.716,0.0585,0.0439,712,4865,1,3.34,4.8,10.19
91,11,UIUC,11,UIUC-11,a,2.5,std,31,0.0549,0.0412,198,1440,1,1.24,4.5,17.63
92,11,UIUC,11,UIUC-11,b,2.5,std,31,0.0528,0.0396,190,1440,1,1.24,4.5,17.63
93,11,UIUC,11,UIUC-11,c,2.5,std,31,0.0565,0.0423,203,1440,1,1.24,4.5,17.63
94,11,UIUC,11,UIUC-11,a,1.2,15mg,14.88,0.0302,0.0226,226,3000,1,1.24,4.5,17.63
95,11,UIUC,11,UIUC-11,b,1.2,15mg,14.88,0.0291,0.0218,218,3000,1,1.24,4.5,17.63
96,11,UIUC,11,UIUC-11,c,1.2,15mg,14.88,0.0271,0.0203,203,3000,1,1.24,4.5,17.63
97,11,UIUC,11,UIUC-11,a,2.01,25mg,24.924,0.0503,0.0377,225,1791,1,1.24,4.5,17.63
98,11,UIUC,11,UIUC-11,b,2.01,25mg,24.924,0.0503,0.0377,225,1791,1,1.24,4.5,17.63
99,11,UIUC,11,UIUC-11,c,2.01,25mg,24.924,0.0498,0.0373,223,1791,1,1.24,4.5,17.63
100,12,UIUC,12,UIUC-12,a,2.5,std,37,0.124,0.093,446,1440,1,1.48,6.6,28.08
101,12,UIUC,12,UIUC-12,b,2.5,std,37,0.1188,0.0891,428,1440,1,1.48,6.6,28.08
102,12,UIUC,12,UIUC-12,c,2.5,std,37,0.1281,0.0961,461,1440,1,1.48,6.6,28.08
103,12,UIUC,12,UIUC-12,a,1.01,15mg,14.948,0.0528,0.0396,471,3564,1,1.48,6.6,28.08
104,12,UIUC,12,UIUC-12,b,1.01,15mg,14.948,0.0451,0.0338,402,3564,1,1.48,6.6,28.08
105,12,UIUC,12,UIUC-12,c,1.01,15mg,14.948,0.0528,0.0396,471,3564,1,1.48,6.6,28.08
106,12,UIUC,12,UIUC-12,a,1.68,25mg,24.864,0.0828,0.0621,443,2143,1,1.48,6.6,28.08
107,12,UIUC,12,UIUC-12,b,1.68,25mg,24.864,0.0864,0.0648,463,2143,1,1.48,6.6,28.08
108,12,UIUC,12,UIUC-12,c,1.68,25mg,24.864,0.0833,0.0625,446,2143,1,1.48,6.6,28.08
